SKU,Quantity,Barcode,Title,UpdatedAt
2101-0006-0120,0,841298111234,"6mm D-Shaft (Stainless Steel, 120mm Length)",2026-05-04 21:43:11
2101-0006-0260,0,841298111296,"6mm D-Shaft (Stainless Steel, 260mm Length)",2026-05-04 21:43:11
2102-0008-0050,0,841298125446,"2102 Series Stainless Steel REX® Shaft (8mm Diameter, 50mm Length)",2026-05-04 21:43:11
2102-0008-0070,0,841298125460,"2102 Series Stainless Steel REX® Shaft (8mm Diameter, 70mm Length)",2026-05-04 21:43:11
2102-0008-0180,0,841298125538,"2102 Series Stainless Steel REX® Shaft (8mm Diameter, 180mm Length)",2026-05-04 21:43:11
2102-0008-0260,0,841298125569,"2102 Series Stainless Steel REX® Shaft (8mm Diameter, 260mm Length)",2026-05-04 21:43:11
2104-0012-0043,0,841298121967,"12mm REX® Shaft (Aluminum, 43mm Length)",2026-05-04 21:43:11
2104-0012-0072,0,841298121301,"12mm REX® Shaft (Aluminum, 72mm Length)",2026-05-04 21:43:11
2104-0012-0104,0,841298121349,"12mm REX® Shaft (Aluminum, 104mm Length)",2026-05-04 21:43:11
2104-0012-0120,0,841298121363,"12mm REX® Shaft (Aluminum, 120mm Length)",2026-05-04 21:43:11
2104-0012-0336,0,841298121400,"12mm REX® Shaft (Aluminum, 336mm Length)",2026-05-04 21:43:11
2106-4008-0400,0,841298131744,"8mm REX® Shaft with E-Clip (Stainless Steel, 40mm Length)",2026-05-04 21:43:11
2106-4008-0520,0,,"8mm REX® Shaft with E-Clip (Stainless Steel, 52mm Length)",2026-05-04 21:43:11
2106-4008-0540,0,841298135353,"8mm REX® Shaft with E-Clip (Stainless Steel, 54mm Length)",2026-05-04 21:43:11
2106-4008-0960,0,841298129239,"8mm REX® Shaft with E-Clip (Stainless Steel, 96mm Length)",2026-05-04 21:43:11
2106-4008-2160,0,841298137685,"8mm REX® Shaft with E-Clip (Stainless Steel, 216mm Length)",2026-05-04 21:43:11
2106-4008-3120,0,841298131454,"8mm REX® Shaft with E-Clip (Stainless Steel, 312mm Length)",2026-05-04 21:43:11
2106-4008-3840,0,841298141415,"8mm REX® Shaft with E-Clip (Stainless Steel, 384mm Length)",2026-05-04 21:43:11
2109-4012-1920,0,841298140289,"12mm REX® Shaft with E-Clip (Stainless Steel, 192mm Length)",2026-05-04 21:43:11
