sku,upc,upc_source,missing_upc,url,title
"","","","true","https://www.gobilda.com/rd-14mm-bore-aluminum-hub-mount-sprockets-1","14mm Bore Metal Hub-Mount Sprockets"
"2910-1026-4012","841298124074","meta:gtin","false","https://www.gobilda.com/2910-series-aluminum-clamping-collar-12mm-rex-id-x-26mm-od-10mm-length","2910 Series Aluminum Clamping Collar (12mm REX® ID x 26mm OD, 10mm Length)"
"3601-0014-0072","841298114617","meta:gtin","false","https://www.gobilda.com/rd-back-in-stock-3601-series-rhino-wheel-14mm-bore-72mm-diameter","3601 Series Rhino Wheel (14mm Bore, 72mm Diameter)"
"3627-0008-3212","841298137173","meta:gtin","false","https://www.gobilda.com/u-wheel-8mm-groove-8mm-id-bearings-32mm-diameter-2-pack","U-Wheel (8mm Groove, 8mm ID Bearings, 32mm Diameter) - 2 Pack"
"3412-0009-0840","841298127594","meta:gtin","false","https://www.gobilda.com/3412-series-5mm-htd-pitch-timing-belt-9mm-width-840mm-pitch-length-168-tooth","5mm Pitch HTD Timing Belt (9mm Width, 840mm Pitch Length, 168 Tooth)"
"1137-0002-0001","841298122131","meta:gtin","false","https://www.gobilda.com/1137-series-steel-flat-grid-bracket-2-1-2-pack","1137 Series Steel Flat Grid Bracket (2-1) - 2 Pack"
"3311-0014-0042","841298122742","meta:gtin","false","https://www.gobilda.com/8mm-pitch-acetal-hub-mount-sprocket-14mm-bore-42-tooth","8mm Pitch Acetal Hub-Mount Sprocket (14mm Bore, 42 Tooth)"
"3203-1121-0001","841298123749","meta:gtin","false","https://www.gobilda.com/1121-series-low-side-u-channel-bundle","1121 Series Low-Side U-Channel Bundle (17 Pcs)"
"3313-0108-0050","841298133779","meta:gtin","false","https://www.gobilda.com/8mm-pitch-grid-chain-50-pack","8mm Pitch Grid-Chain (50 Pack)"
"3801-0502-0060","","","true","https://www.gobilda.com/anderson-powerpole-to-female-xt30-adaptor","Anderson Powerpole to Female XT30 Adaptor"
"2804-0004-0020","841298109811","meta:gtin","false","https://www.gobilda.com/2804-series-zinc-plated-steel-low-profile-socket-head-screw-m4-x-0-7mm-20mm-length-25-pack","2804 Series Zinc-Plated Steel Low Profile Socket Head Screw (M4 x 0.7mm, 20mm Length) - 25 Pack"
"1143-0012-0312","","","true","https://www.gobilda.com/1143-series-mini-low-side-u-channel-12-hole-312mm-length","1143 Series Mini Low-Side U-Channel (12 Hole, 312mm Length)"
"2800-0004-0050","841298116659","meta:gtin","false","https://www.gobilda.com/m4-x-0-7mm-zinc-plated-socket-head-screw-50mm-length-25-pack","M4 x 0.7mm Zinc-Plated Socket Head Screw (50mm Length) - 25 Pack"
"2106-4008-3120","841298131454","meta:gtin","false","https://www.gobilda.com/8mm-rex-shaft-with-e-clip-stainless-steel-312mm-length","8mm REX® Shaft with E-Clip (Stainless Steel, 312mm Length)"
"3122-0003-0001","841298139986","meta:gtin","false","https://www.gobilda.com/rolling-shutter-usb-camera-with-gobilda-case-30-fps","Rolling Shutter USB Camera with goBILDA® Case (30 FPS)"
"2312-0414-0046","841298133076","meta:gtin","false","https://www.gobilda.com/46-tooth-hub-mount-gear-mod-0-8-4mm-thick-acetal","46 Tooth Hub-Mount Gear (MOD 0.8, 4mm Thick Acetal)"
"1119-0013-0104","841298113580","meta:gtin","false","https://www.gobilda.com/1119-series-shaft-beam-13-hole-104mm-length","1119 Series Shaft Beam (13 Hole, 104mm Length)"
"2800-0004-0012","","","true","https://www.gobilda.com/m4-x-0-7mm-zinc-plated-socket-head-screw-12mm-length-25-pack","M4 x 0.7mm Zinc-Plated Socket Head Screw (12mm Length)"
"1401-0043-0036","841298124937","meta:gtin","false","https://www.gobilda.com/1401-series-2-side-2-post-clamping-mount-43mm-width-36mm-bore","1401 Series 2-Side, 2-Post Clamping Mount (43mm Width, 36mm Bore)"
"1611-0514-0006","841298116260","meta:gtin","false","https://www.gobilda.com/1611-series-flanged-ball-bearing-6mm-id-x-14mm-od-5mm-thickness-2-pack","1611 Series Flanged Ball Bearing (6mm ID x 14mm OD, 5mm Thickness) - 2 Pack"
"1501-0006-0050","841298110688","meta:gtin","false","https://www.gobilda.com/1501-series-m4-x-0-7mm-standoff-6mm-od-5mm-length-4-pack","1501 Series M4 x 0.7mm Standoff (6mm OD, 5mm Length) - 4 Pack"
"3801-0919-0300","841298124982","meta:gtin","false","https://www.gobilda.com/encoder-breakout-cable-4-pos-jst-xh-mh-fc-to-4-x-1-pos-tjc8-mh-fc-300mm-length","Encoder Breakout Cable (4-Pos JST XH [MH-FC] to 4 x 1-Pos TJC8 [MH-FC], 300mm Length)"
"2310-2000-0004","","","true","https://www.gobilda.com/servo-gear-set-for-2000-series-super-speed-servo","Servo Gear Set for 2000 Series 'Super Speed' Servo"
"1310-0016-0500","841298130808","meta:gtin","false","https://www.gobilda.com/1310-series-hyper-hub-1-2-bore","1310 Series Hyper Hub (1/2"" Bore)"
"1521-0008-0120","841298131218","meta:gtin","false","https://www.gobilda.com/1521-series-6mm-id-spacer-8mm-od-12mm-length-4-pack","1521 Series 6mm ID Spacer (8mm OD, 12mm Length) - 4 Pack"
"1201-0027-0001","841298129093","meta:gtin","false","https://www.gobilda.com/1201-series-quad-block-pattern-mount-27-1","1201 Series Quad Block Pattern Mount (27-1)"
"3800-0003-0100","841298124357","meta:gtin","false","https://www.gobilda.com/tamiya-lead-mh-fc-100mm-length","Tamiya Lead (MH-FC, 100mm Length)"
"1516-4008-0500","841298133403","meta:gtin","false","https://www.gobilda.com/1516-series-8mm-rex-standoff-m4-x-0-7mm-threads-50mm-length-4-pack","1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 50mm Length) - 4 Pack"
"2320-1006-0024","841298139795","meta:gtin","false","https://www.gobilda.com/clamping-steel-miter-gear-6mm-d-bore-24-tooth-mod-1","Clamping Steel Miter Gear (6mm D-Bore, 24 Tooth, MOD 1)"
"2902-0025-0001","841298134486","meta:gtin","false","https://www.gobilda.com/plastic-hinge-block-25-pack","Plastic Hinge Block - 25 Pack"
"1103-0029-0232","841298113078","meta:gtin","false","https://www.gobilda.com/1103-series-l-beam-29-hole-232mm-length-2-pack","1103 Series L-Beam (29 Hole, 232mm Length) - 2 Pack"
"2101-0006-0020","841298111142","meta:gtin","false","https://www.gobilda.com/6mm-d-shaft-stainless-steel-20mm-length","6mm D-Shaft (Stainless Steel, 20mm Length)"
"2900-0120-0001","841298107282","meta:gtin","false","https://www.gobilda.com/2900-series-shock-120-1-2-pack","2900 Series Shock (120-1) - 2 Pack"
"3108-0102-0201","841298130280","meta:gtin","false","https://www.gobilda.com/dual-5a-pwm-switch","Dual 5A PWM Switch"
"2304-0006-0015","841298114532","meta:gtin","false","https://www.gobilda.com/2304-series-brass-mod-0-8-pinion-gear-6mm-bore-15-tooth","2304 Series Brass, MOD 0.8 Pinion Gear (6mm Bore, 15 Tooth)"
"3215-0001-0005","","","true","https://www.gobilda.com/stingray-5-servo-gearbox-0-85-sec-60-1750-oz-in-torque-360-rotation","Stingray-5 Servo Gearbox (0.83 sec/60°, 12 RPM, 1750 oz-in Torque, 360° Rotation)"
"","","","true","https://www.gobilda.com/rd-8mm-round-bore-hubs-1","8mm Round Bore Hubs"
"","","","true","https://www.gobilda.com/rd-jst-xh-series-connector-wiring","Connector Style: JST XH Series"
"4005-0016-0001","841298124395","meta:gtin","false","https://www.gobilda.com/4005-series-pattern-mount-universal-joint-16-1","4005 Series Pattern Mount Universal Joint (16-1)"
"2305-0024-0024","841298114136","meta:gtin","false","https://www.gobilda.com/2305-0024-0024-on-servocity","2305 Series Brass, MOD 0.8, Servo Gear (24 Tooth Spline, 24 Tooth)"
"2201-0101-0103","","","true","https://www.gobilda.com/gobilda-dark-matter-hoodie-black-adult-m","goBILDA Dark Matter Hoodie"
"","","","true","https://www.gobilda.com/rd-4mm-id-x-7mm-od-stainless-steel-shims-1","Shaft Spacers & Shims"
"1122-0009-0240","841298132871","meta:gtin","false","https://www.gobilda.com/1122-series-rail-channel-9-hole-240mm-length","1122 Series Rail-Channel (9 Hole, 240mm Length)"
"3607-0014-0048","841298119308","meta:gtin","false","https://www.gobilda.com/3607-series-disc-wheel-14mm-bore-48mm-diameter-black-2-pack","3607 Series Disc Wheel (14mm Bore, 48mm Diameter, Black) - 2 Pack"
"3423-0006-0264","841298136404","meta:gtin","false","https://www.gobilda.com/2mm-pitch-gt2-timing-belt-6mm-width-264mm-pitch-length-132-tooth","2mm Pitch GT2 Timing Belt (6mm Width, 264mm Pitch Length, 132 Tooth)"
"1503-5100-6190","841298110640","meta:gtin","false","https://www.gobilda.com/1503-series-m4-x-0-7mm-shoulder-standoff-5-6mm-od-10-19mm-length-4-pack","1503 Series M4 x 0.7mm Shoulder Standoff (5-6mm OD, 10-19mm Length) - 4 Pack"
"3412-0009-0215","841298127471","meta:gtin","false","https://www.gobilda.com/5mm-pitch-htd-timing-belt-9mm-width-215mm-pitch-length-43-tooth","5mm Pitch HTD Timing Belt (9mm Width, 215mm Pitch Length, 43 Tooth)"
"2904-0008-0014","841298134592","meta:gtin","false","https://www.gobilda.com/14mm-to-8mm-hole-reducer-4-pack","14mm to 8mm Hole Reducer - 4 Pack"
"1123-0048-0048","841298113450","meta:gtin","false","https://www.gobilda.com/1123-series-pattern-plate-1-x-1-hole-48-x-48mm","1123 Series Pattern Plate (1 x 1 Hole, 48 x 48mm)"
"1101-0007-0056","841298112743","meta:gtin","false","https://www.gobilda.com/1101-series-u-beam-7-hole-56mm-length","1101 Series U-Beam (7 Hole, 56mm Length)"
"1116-0024-0040","841298112606","meta:gtin","false","https://www.gobilda.com/1116-series-grid-plate-3-x-5-hole-24-x-40mm","1116 Series Grid Plate (3 x 5 Hole, 24 x 40mm)"
"1123-0048-0240","841298119698","meta:gtin","false","https://www.gobilda.com/1123-series-pattern-plate-1-x-9-hole-48-x-240mm","1123 Series Pattern Plate (1 x 9 Hole, 48 x 240mm)"
